filename,max_confidence,waste_objects_detected
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001801_heading26.70_pitch-0.20_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001821_heading206.83_pitch0.10_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001829_heading208.53_pitch-0.13_right90_square_fov90.0_640x640.jpg,0.41654640436172485,6
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001921_heading209.14_pitch0.01_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001927_heading208.33_pitch-0.08_right90_square_fov90.0_640x640.jpg,0.3149580955505371,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_001947_heading207.93_pitch-0.07_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_002021_heading238.73_pitch2.19_right90_square_fov90.0_640x640.jpg,0.4619311988353729,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_002035_heading331.23_pitch1.04_right90_square_fov90.0_640x640.jpg,0.5081557035446167,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000112_heading309.66_pitch0.07_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000181_heading337.94_pitch-0.46_right90_square_fov90.0_640x640.jpg,0.47619450092315674,4
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000183_heading342.19_pitch0.42_right90_square_fov90.0_640x640.jpg,0.5389103293418884,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000200_heading255.27_pitch-1.47_right90_square_fov90.0_640x640.jpg,0.38205328583717346,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000241_heading237.34_pitch1.01_right90_square_fov90.0_640x640.jpg,0.25926673412323,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000284_heading82.79_pitch-1.41_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000302_heading131.26_pitch-0.55_right90_square_fov90.0_640x640.jpg,0.2663663923740387,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000327_heading314.82_pitch-0.83_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000386_heading42.93_pitch-0.62_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000398_heading133.25_pitch-0.38_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000408_heading132.27_pitch-0.28_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000432_heading133.19_pitch0.14_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000484_heading313.63_pitch0.52_right90_square_fov90.0_640x640.jpg,0.383666455745697,4
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000614_heading43.77_pitch-0.51_right90_square_fov90.0_640x640.jpg,0.29735705256462097,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000624_heading146.72_pitch0.13_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000638_heading217.99_pitch-0.42_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_000642_heading223.45_pitch-0.04_right90_square_fov90.0_640x640.jpg,0.3190726041793823,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000191\pano_0001_001538_heading54.28_pitch1.01_right90_square_fov90.0_640x640.jpg,0.4347689151763916,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000193\pano_0000_000012_heading303.16_pitch2.57_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000011\pano_0000_008824_heading189.93_pitch0.76_right90_square_fov90.0_640x640.jpg,0.31911149621009827,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000011\pano_0000_008868_heading9.66_pitch-0.27_right90_square_fov90.0_640x640.jpg,0.33205217123031616,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000011\pano_0000_008878_heading9.13_pitch0.43_right90_square_fov90.0_640x640.jpg,0.5069551467895508,4
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000011\pano_0000_008924_heading208.84_pitch0.45_right90_square_fov90.0_640x640.jpg,0.294875830411911,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002725_heading282.20_pitch-2.03_right90_square_fov90.0_640x640.jpg,0.3474161624908447,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002785_heading316.87_pitch0.07_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316060226-000019\pano_0000_002837_heading334.21_pitch-0.07_right90_square_fov90.0_640x640.jpg,0.0,0
